TrisCalDate,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp
20240523,5,20240525,TD,18:45,19:15,-14.2,16.3,30,7.3,16
20240523,6,20240525,TD,18:45,19:15,-34.5,16.1,30,7.7,20
20240523,7,20240525,TD,18:45,19:15,-37.5,20.4,30,7.9,20
20240523,8,20240525,TD,18:45,19:15,-38,19.8,30,7.8,20
20240523,9,20240525,TD,18:45,19:15,-30.6,20.1,30,7.5,20
20240523,10,20240525,TD,18:45,19:15,-22.4,20,30,7.4,20
20240523,11,20240525,TD,18:45,19:15,-0.2,16.1,30,7.2,16
20240523,12,20240525,TD,18:45,19:15,-36.9,20,30,7.7,16
20240523,13,20240525,TD,18:45,19:15,-34.5,16.6,30,7.9,16
20240523,14,20240525,TD,18:45,19:15,-56.3,20.2,30,8,20
20240523,15,20240525,TD,18:45,19:15,-17.4,20,30,7.3,20
20240523,17,20240525,TD,18:45,19:15,-52.2,16.3,30,8,16
20240523,18,20240525,TD,18:45,19:15,-28.3,16,30,7.8,16
20240523,19,20240525,TD,18:45,19:15,-35.4,16.1,30,7.6,16
20240527,1,20240527,TD,19:30,20:00,-17.8,16.3,30,7.4,16
20240527,2,20240527,TD,19:30,20:00,-21.7,16.1,30,7.5,16
20240527,3,20240527,TD,19:30,20:00,-11.7,20,30,7.2,20
20240527,4,20240527,TD,19:30,20:00,-30.6,20.1,30,7.6,20
20240527,5,20240527,TD,19:30,20:00,-14.5,16.4,30,7.3,16
20240527,6,20240527,TD,19:30,20:00,-30.1,16.1,30,7.7,20
20240527,7,20240527,TD,19:30,20:00,-39.7,19.7,30,7.9,20
20240527,8,20240527,TD,19:30,20:00,-39.5,19.9,30,7.8,20
20240527,9,20240527,TD,19:30,20:00,-27.1,20.1,30,7.5,20
20240527,10,20240527,TD,19:30,20:00,-18,20,30,7.4,20
20240527,11,20240527,TD,19:30,20:00,-16,16.1,30,7.2,16
20240527,12,20240527,TD,19:30,20:00,-27.8,20,30,7.7,16
20240527,13,20240527,TD,19:30,20:00,-35.7,16.5,30,7.9,16
20240527,14,20240527,TD,19:30,20:00,-54.2,20,30,8,20
20240527,15,20240527,TD,19:30,20:00,-10.9,20,30,7.3,20
20240527,17,20240527,TD,19:30,20:00,-52.7,15.9,30,8,16
20240527,18,20240527,TD,19:30,20:00,-24.4,16.1,30,7.8,16
20240527,19,20240527,TD,19:30,20:00,-25.8,16.3,30,7.6,16
20240527,1,20240528,TD,11:00,11:30,-22.9,16.2,30,7.4,16
20240527,2,20240528,TD,11:00,11:30,-25.4,16.1,30,7.5,16
20240527,3,20240528,TD,11:00,11:30,-5.1,20.1,30,7.2,20
20240527,4,20240528,TD,11:00,11:30,-33.8,16.1,30,7.6,20
20240527,5,20240528,TD,11:00,11:30,-17.1,16.4,30,7.3,16
20240527,6,20240528,TD,11:00,11:30,-38.2,16.1,30,7.7,20
20240527,7,20240528,TD,11:00,11:30,-42.8,20.1,30,7.9,20
20240527,8,20240528,TD,11:00,11:30,-43,20,30,7.8,20
20240527,9,20240528,TD,11:00,11:30,-30.5,20.4,30,7.5,20
20240527,10,20240528,TD,11:00,11:30,-17.8,20.1,30,7.4,20
20240527,11,20240528,TD,11:00,11:30,-3.6,16.2,30,7.2,16
20240527,12,20240528,TD,11:00,11:30,-38.2,20.1,30,7.7,16
20240527,13,20240528,TD,11:00,11:30,-40.8,16.6,30,7.9,16
20240527,14,20240528,TD,11:00,11:30,-55.4,19.9,30,8,20
20240527,15,20240528,TD,11:00,11:30,-13.9,20.1,30,7.3,20
20240527,17,20240528,TD,11:00,11:30,-53,16.2,30,8,16
20240527,18,20240528,TD,11:00,11:30,-33.8,16.1,30,7.8,16
20240527,19,20240528,TD,11:00,11:30,-35.7,16.1,30,7.6,16
20240527,1,20240529,TD,19:30,19:47,-17.9,16.1,30,7.4,16
20240527,2,20240529,TD,19:30,19:47,-26.9,16,30,7.5,16
20240527,3,20240529,TD,19:30,19:47,-5.4,19.8,30,7.2,20
20240527,4,20240529,TD,19:30,19:47,-34.4,20,30,7.6,20
20240527,5,20240529,TD,19:30,19:47,-16.6,16.1,30,7.3,16
20240527,6,20240529,TD,19:30,19:47,-34.2,16.1,30,7.7,20
20240527,7,20240529,TD,19:30,19:47,-36.2,19.5,30,7.9,20
20240527,8,20240529,TD,19:30,19:47,-35.6,19.9,30,7.8,20
20240527,9,20240529,TD,19:30,19:47,-29,19.5,30,7.5,20
20240527,10,20240529,TD,19:30,19:47,-19.6,20,30,7.4,20
20240527,11,20240529,TD,19:30,19:47,-4.9,16.1,30,7.2,16
20240527,12,20240529,TD,19:30,19:47,-35.1,19.8,30,7.7,16
20240527,13,20240529,TD,19:30,19:47,-32.1,16.1,30,7.9,16
20240527,14,20240529,TD,19:30,19:47,-54.2,19.9,30,8,20
20240527,15,20240529,TD,19:30,19:47,-11.4,19.8,30,7.3,20
20240527,17,20240529,TD,19:30,19:47,-53.6,16.3,30,8,16
20240527,18,20240529,TD,19:30,19:47,-24.7,16,30,7.8,16
20240527,19,20240529,TD,19:30,19:47,-33.6,15.9,30,7.6,16
20240530,1,20240530,TD,10:30,10:50,-21.1,16,30,7.4,16
20240530,2,20240530,TD,10:30,10:50,-27.2,15.9,30,7.5,16
20240530,3,20240530,TD,10:30,10:50,-12.8,19.7,30,7.2,20
20240530,4,20240530,TD,10:30,10:50,-34,19.9,30,7.6,20
20240530,5,20240530,TD,10:30,10:50,-17.6,16,30,7.3,16
20240530,6,20240530,TD,10:30,10:50,-38.5,16,30,7.7,20
20240530,7,20240530,TD,10:30,10:50,-42.7,19.8,30,7.9,20
20240530,8,20240530,TD,10:30,10:50,-44.9,19.9,30,7.8,20
20240530,9,20240530,TD,10:30,10:50,-34,19.7,30,7.5,20
20240530,10,20240530,TD,10:30,10:50,-19.7,20,30,7.4,20
20240530,11,20240530,TD,10:30,10:50,-11.9,16.1,30,7.2,16
20240530,12,20240530,TD,10:30,10:50,-35.4,20.2,30,7.7,16
20240530,13,20240530,TD,10:30,10:50,-42.9,16.3,30,7.9,16
20240530,14,20240530,TD,10:30,10:50,-54.1,20,30,8,20
20240530,15,20240530,TD,10:30,10:50,-15.8,20,30,7.3,20
20240530,17,20240530,TD,10:30,10:50,-52.7,16.3,30,8,16
20240530,18,20240530,TD,10:30,10:50,-36.8,16.1,30,7.8,16
20240530,19,20240530,TD,10:30,10:50,-35.2,16.1,30,7.6,16
20240530,1,20240531,TD,11:00,11:30,-20.1,16.2,30,7.4,16
20240530,2,20240531,TD,11:00,11:30,-26,16,30,7.5,16
20240530,3,20240531,TD,11:00,11:30,-9.3,19.8,30,7.2,20
20240530,4,20240531,TD,11:00,11:30,-32.9,19.9,30,7.6,20
20240530,5,20240531,TD,11:00,11:30,-17.4,16.1,30,7.3,16
20240530,6,20240531,TD,11:00,11:30,-47.3,16.1,30,7.7,20
20240530,7,20240531,TD,11:00,11:30,-48.4,20,30,7.9,20
20240530,8,20240531,TD,11:00,11:30,-46.4,20,30,7.8,20
20240530,9,20240531,TD,11:00,11:30,-29,20,30,7.5,20
20240530,10,20240531,TD,11:00,11:30,-19.6,20,30,7.4,20
20240530,11,20240531,TD,11:00,11:30,-15.9,16,30,7.2,16
20240530,12,20240531,TD,11:00,11:30,-36.9,20,30,7.7,16
20240530,13,20240531,TD,11:00,11:30,-48.5,16.4,30,7.9,16
20240530,14,20240531,TD,11:00,11:30,-54.4,20.1,30,8,20
20240530,15,20240531,TD,11:00,11:30,-13.7,20,30,7.3,20
20240530,17,20240531,TD,11:00,11:30,-53.4,16.4,30,8,16
20240530,18,20240531,TD,11:00,11:30,-39.7,16.1,30,7.8,16
20240530,19,20240531,TD,11:00,11:30,-37.1,16.2,30,7.6,16
20240530,1,20240601,TD,7:30,8:10,-21.2,16.2,30,7.4,16
20240530,2,20240601,TD,7:30,8:10,-26.5,16,30,7.5,16
20240530,3,20240601,TD,7:30,8:10,-10.5,19.8,30,7.2,20
