FileName,run,run_id,umol.L.sec,Intercept,Temp.C
RW_PI_16_5_20240617_O2,450,RW_PI_16_5_20240617_O2_450,0.006703743842364634,224.4519602955664,15.822290322580645
RW_PI_16_5_20240617_O2,600,RW_PI_16_5_20240617_O2_600,0.007405572649572783,228.38893596581187,15.833129032258064
RW_PI_16_5_20240617_O2,800,RW_PI_16_5_20240617_O2_800,0.008054041422287576,232.7519193823312,15.883971428571428
RW_PI_16_6_20240617_O2,0,RW_PI_16_6_20240617_O2_0,-0.005472822565275444,174.29612983292046,15.063660714285714
RW_PI_16_6_20240617_O2,100,RW_PI_16_6_20240617_O2_100,0.012964809081527185,165.39383429652574,15.300558823529412
RW_PI_16_6_20240617_O2,150,RW_PI_16_6_20240617_O2_150,0.018198284313725693,173.8349291666666,15.47216129032258
RW_PI_16_6_20240617_O2,200,RW_PI_16_6_20240617_O2_200,0.024529639804639854,184.63676319698817,15.64558064516129
RW_PI_16_6_20240617_O2,260,RW_PI_16_6_20240617_O2_260,0.026941544566544663,199.22902345339836,15.827774193548388
RW_PI_16_6_20240617_O2,350,RW_PI_16_6_20240617_O2_350,0.029510940170940067,215.34140529914538,16.022870967741934
RW_PI_16_6_20240617_O2,450,RW_PI_16_6_20240617_O2_450,0.030691961538461564,232.90895880769227,16.179193548387097
RW_PI_16_6_20240617_O2,600,RW_PI_16_6_20240617_O2_600,0.030952076923076926,251.4277802307692,16.247612903225807
RW_PI_16_6_20240617_O2,800,RW_PI_16_6_20240617_O2_800,0.030767172961138473,270.0351728927203,16.368714285714287
RW_PI_16_Blank_20240617_O2,0,RW_PI_16_Blank_20240617_O2_0,-0.007422214319582724,200.41382524893314,15.49470909090909
RW_PI_16_Blank_20240617_O2,100,RW_PI_16_Blank_20240617_O2_100,-0.004014912280701638,191.5036815789473,15.359735294117646
RW_PI_16_Blank_20240617_O2,150,RW_PI_16_Blank_20240617_O2_150,-0.0016930478309231888,189.11997691879859,15.515645161290323
RW_PI_16_Blank_20240617_O2,200,RW_PI_16_Blank_20240617_O2_200,-0.0011312068965517012,188.07653120689653,15.667677419354838
RW_PI_16_Blank_20240617_O2,260,RW_PI_16_Blank_20240617_O2_260,-7.784615384616166e-4,187.42268615384623,15.81083870967742
RW_PI_16_Blank_20240617_O2,350,RW_PI_16_Blank_20240617_O2_350,-7.99461538461593e-4,186.9490271538462,15.95958064516129
RW_PI_16_Blank_20240617_O2,450,RW_PI_16_Blank_20240617_O2_450,-1.2569230769225753e-4,186.40686107692304,16.053516129032257
RW_PI_16_Blank_20240617_O2,600,RW_PI_16_Blank_20240617_O2_600,-5.3884615384503176e-5,186.34433234615375,16.048774193548386
RW_PI_16_Blank_20240617_O2,800,RW_PI_16_Blank_20240617_O2_800,-4.593658357771549e-4,186.24361222507338,16.07977142857143
RW_PI_20_1_20240617_O2,0,RW_PI_20_1_20240617_O2_0,-0.011769226539589442,255.82023678519064,19.823129032258066
RW_PI_20_1_20240617_O2,100,RW_PI_20_1_20240617_O2_100,-0.0011551090564247875,239.22304131104778,19.9077868852459
RW_PI_20_1_20240617_O2,150,RW_PI_20_1_20240617_O2_150,0.0016381196581196193,237.8098456410257,19.99190322580645
RW_PI_20_1_20240617_O2,200,RW_PI_20_1_20240617_O2_200,0.010963333333333505,237.75259456140338,20.059
RW_PI_20_1_20240617_O2,260,RW_PI_20_1_20240617_O2_260,0.016517737154150006,243.90277672924913,20.13767741935484
RW_PI_20_1_20240617_O2,350,RW_PI_20_1_20240617_O2_350,0.02554781954887219,253.80944616541348,20.216129032258063
RW_PI_20_1_20240617_O2,450,RW_PI_20_1_20240617_O2_450,0.031225152625152613,268.78954082214085,20.188548387096773
RW_PI_20_1_20240617_O2,600,RW_PI_20_1_20240617_O2_600,0.036309989053092476,287.4270934044883,20.11616129032258
RW_PI_20_1_20240617_O2,800,RW_PI_20_1_20240617_O2_800,0.03763791452991437,309.1184766153848,20.105612903225808
RW_PI_20_2_20240617_O2,0,RW_PI_20_2_20240617_O2_0,-0.005207774373563952,262.74637343801305,19.918774193548387
RW_PI_20_2_20240617_O2,100,RW_PI_20_2_20240617_O2_100,0.00504838603425554,254.5445115612649,19.990655737704916
RW_PI_20_2_20240617_O2,150,RW_PI_20_2_20240617_O2_150,0.007220827067669091,260.6998724060151,20.075774193548387
RW_PI_20_2_20240617_O2,200,RW_PI_20_2_20240617_O2_200,0.012166769230769125,264.7557563076924,20.150935483870967
RW_PI_20_2_20240617_O2,260,RW_PI_20_2_20240617_O2_260,0.015184384615384577,271.8863402307692,20.23867741935484
