FileName,Intercept,umol.L.sec,Temp.C
RW_T12_67_Light_20240429_O2,204.3430719,0.013706581,16.58344828
RW_T12_67_Light_20240612_O2,196.9738039,0.012451338,20.09967241
RW_T12_68_Dark_20240429_O2,204.6344435,-0.003870561,16.33147191
RW_T12_68_Dark_20240612_O2,236.6455316,-0.006763328,20.19338525
RW_T12_68_Light_20240429_O2,207.9737905,0.00764067,16.49206897
RW_T12_68_Light_20240612_O2,242.7205824,0.017617228,20.11539655
RW_T12_69_Dark_20240429_O2,218.8230472,-0.00434964,16.32966292
RW_T12_69_Dark_20240612_O2,229.5632273,-0.005426735,20.14000826
RW_T12_69_Light_20240429_O2,219.5144161,0.01540098,16.49924138
RW_T12_69_Light_20240612_O2,240.3349414,0.03607545,19.99154386
RW_T12_70_Dark_20240429_O2,249.4390099,-0.007408776,16.36944944
RW_T12_70_Dark_20240612_O2,230.8816143,-0.005832815,20.30517213
RW_T12_70_Light_20240429_O2,255.0239482,0.024029394,16.69204598
RW_T12_70_Light_20240612_O2,240.0307432,0.030385714,20.0067931
RW_T12_71_Dark_20240429_O2,237.7720486,-0.008777981,16.21601136
RW_T12_71_Dark_20240612_O2,203.850092,-0.007074854,20.2212314
RW_T12_71_Light_20240429_O2,243.5566499,0.016764234,16.30664368
RW_T12_71_Light_20240612_O2,209.1075071,0.021985891,20.25305263
RW_T12_72_Dark_20240429_O2,258.5179489,-0.00380216,16.32233708
RW_T12_72_Dark_20240612_O2,185.496312,-0.00500811,21.03796694
RW_T12_72_Light_20240429_O2,261.6371669,0.015648426,16.52
RW_T12_72_Light_20240612_O2,187.7732051,0.012482967,19.97385965
RW_T12_B_Dark_20240429_O2,258.3152075,6.31E-04,16.19098864
RW_T12_B_Light_20240429_O2,261.5558847,1.76E-04,16.48304598
RW_T12_Blank_Dark_20240612_O2,244.8756997,-6.84E-05,20.2575124
RW_T12_Blank_Light_20240612_O2,245.8197326,2.05E-06,19.91805357
RW_T13_73_Dark_20240428_O2,201.6003071,-0.007570943,20.34743333
RW_T13_73_Dark_20240613_O2,209.7199205,-0.005784035,16.27724561
RW_T13_73_Light_20240428_O2,200.5720719,0.013803665,20.5347093
RW_T13_73_Light_20240613_O2,214.318953,0.026056379,16.54967857
RW_T13_74_Dark_20240428_O2,235.1684607,-0.010004511,20.21662637
RW_T13_74_Dark_20240613_O2,262.2231738,-0.005238255,16.30819298
RW_T13_74_Light_20240428_O2,233.7306638,0.011947218,20.5002907
RW_T13_74_Light_20240613_O2,263.8497489,0.017156502,16.7545
RW_T13_75_Dark_20240428_O2,220.1244613,-0.01253681,20.13793333
RW_T13_75_Dark_20240613_O2,260.6834521,-0.004193277,16.32980702
RW_T13_75_Light_20240428_O2,220.4169335,0.019381989,20.36047674
RW_T13_75_Light_20240613_O2,262.0286976,0.015354025,16.59635714
RW_T13_76_Dark_20240428_O2,235.7900539,-0.011580258,20.17655556
RW_T13_76_Dark_20240613_O2,244.0407288,-0.004336869,16.22524561
RW_T13_76_Light_20240428_O2,239.3336044,0.034506659,20.58330233
RW_T13_76_Light_20240613_O2,245.4632333,0.013632115,16.42923214
RW_T13_77_Dark_20240428_O2,181.114312,-0.008847218,20.22012222
RW_T13_77_Dark_20240613_O2,258.5053687,-0.005860169,16.33885965
RW_T13_77_Light_20240428_O2,180.3029473,0.01532729,20.60077907
RW_T13_77_Light_20240613_O2,259.8685915,0.026286253,16.69380357
RW_T13_78_Dark_20240428_O2,230.4865255,-0.006036354,20.04294444
RW_T13_78_Dark_20240613_O2,225.1001474,-0.002706577,16.44470175
RW_T13_78_Light_20240428_O2,231.4343068,0.016269627,20.32390698
RW_T13_78_Light_20240613_O2,224.9312253,0.021311815,16.71627273
RW_T13_B_Dark_20240428_O2,235.9231569,2.34E-05,20.25075824
RW_T13_B_Light_20240428_O2,235.1410649,1.33E-05,20.62183721
RW_T13_Blank_Dark_20240613_O2,204.5160603,-1.55E-04,16.39870175
RW_T13_Blank_Light_20240613_O2,202.5526146,3.35E-04,16.63192727
RW_T14_79_Dark_20240429_O2,242.799222,-0.006087969,16.3778806
RW_T14_79_Dark_20240612_O2,235.4360663,-0.003013611,19.85555385
RW_T14_79_Light_20240429_O2,260.6867782,0.027108863,16.64918605
RW_T14_79_Light_20240612_O2,240.1694731,0.018152187,19.95384746
RW_T14_80_Dark_20240429_O2,240.7804274,-0.006089021,16.46851493
RW_T14_80_Dark_20240612_O2,224.7776428,-0.00543351,19.88547692
RW_T14_80_Light_20240429_O2,255.5937024,0.012977435,16.52663218
RW_T14_80_Light_20240612_O2,224.1746447,0.011577115,19.95438983
RW_T14_81_Dark_20240429_O2,245.2107824,-0.005097342,17.99406716
RW_T14_81_Dark_20240612_O2,242.607321,-0.004347947,19.97247692
RW_T14_81_Light_20240429_O2,256.4963022,0.030427902,16.84722989
RW_T14_81_Light_20240612_O2,247.7884422,0.018734211,19.88316949
RW_T14_82_Dark_20240429_O2,239.4801233,-0.004804591,16.49928358
RW_T14_82_Dark_20240612_O2,236.0836803,-0.004031228,19.97815385
RW_T14_82_Light_20240429_O2,248.8546897,0.017956297,16.72429885
RW_T14_82_Light_20240612_O2,240.3175236,0.027901167,19.90476271
RW_T14_83_Dark_20240429_O2,186.4474998,-0.005686491,16.3516194
